"ITEM_ID","ITEM_01_CD","ITEM_01_DSC","ITEM_02_CD","ITEM_02_DSC","ITEM_03_CD","ITEM_03_DSC","ITEM_TYPE_CD","ITEM_TYPE_DSC","BRAND_FAMILY_CD","BRAND_FAMILY_DSC","BRAND_CD","BRAND_DSC","SUB_BRAND_CD","SUB_BRAND_DSC","ITEM_PACK_TYPE_CD","ITEM_PACK_TYPE_DSC","GL_CLASS_CD","GL_CLASS_DSC","ITEM_SIZE_CD","ITEM_SIZE_DSC","MASTER_SKU_CD","MASTER_SKU_DSC","BEV_SEG_CD","MASTER_PKG_CD","MASTER_PKG_DSC","BEV_SEG_DSC","ALC_CONTENT_CD","ALC_CONTENT_DSC","BRAND_OWNER_CD","BRAND_OWNER_DSC","ITEM_PACK_CD","ITEM_PACK_DSC","ALCOHOL_PERCENT_LABEL_CD","ALCOHOL_PERCENT_LABEL_DSC","BEER_PROFILE_CD","BEER_PROFILE_DSC","ABV","IBU","BEER_PACKAGE_CD","BEER_PACKAGE_DSC","PACKAGE_FORMAT_CD","PACKAGE_FORMAT_DSC","BEER_STYLE_CD","BEER_STYLE_DSC","CASE_PACK_CD","CASE_PACK_DSC","STOCK_TYPE_CD","STOCK_TYPE_DSC","CONTAINER_ID_CD","CONTAINER_ID_DSC","COUNTRY_CD","COUNTRY_DSC","COMPONENT_SUB_TYPE_CD","COMPONENT_SUB_TYPE_DSC","UOM_PRIM_CD","UOM_PRIM_DSC"
1454,"10158","CORONITA 7OZ 6PK DEP BT","10158","DEP BT","10158","CORONITA 7OZ 6PK BT DEP","102","FINISHED GOODS - CASE","736","CORONA FAMILY","228","CORONA EXTRA","1229","CORONITA","131","7/24 (BEER)","1003","FG -  BEER - MODELO -CASE","539","7 OUNCE (BEER)","80013968","CORONITA 7OZ 6PK BT","101","228-539-100","CORONA EXTRA 7OZ BT","BEER","146","> 3.2%","101","CROWN IMPORTS","138","6 PACK (BEER)","146","> 3.2%","102","REGULAR",4.6,18,"386","6/7B","103","MULTI-PACK","122","OTHER PALE LAGERS","103","4 PACK","S","STOCK END-ITEM","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
1457,"10159","CORONA LT 6PK DEP BT","10159","DEP BT","10159","CORONA LIGHT 6PK BT DEP","102","FINISHED GOODS - CASE","736","CORONA FAMILY","229","CORONA LIGHT","1233","CORONA LIGHT BT","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80013478","CORONA LT 6PK BT","101","229-556-100","CORONA LIGHT 12OZ BT","BEER","146","> 3.2%","101","CROWN IMPORTS","138","6 PACK (BEER)","146","> 3.2%","101","LIGHT",4.1,18,"373","6/12B","103","MULTI-PACK","117","LIGHT BEER","103","4 PACK","S","STOCK END-ITEM","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
1458,"10160","CORONA LT 12PK DEP BT","10160","DEP BT","10160","CORONA LIGHT 12PK BT DEP","102","FINISHED GOODS - CASE","736","CORONA FAMILY","229","CORONA LIGHT","1233","CORONA LIGHT BT","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80013464","CORONA LT 12PK BT","101","229-556-100","CORONA LIGHT 12OZ BT","BEER","146","> 3.2%","101","CROWN IMPORTS","139","12 PACK (BEER)","146","> 3.2%","101","LIGHT",4.1,18,"221","12/12B","103","MULTI-PACK","117","LIGHT BEER","101","2 PACK","S","STOCK END-ITEM","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
1459,"10161","MODELO NEGRA 6PK DEP BT","10161","DEP BT","10161","NEGRA MODELO BEER 6PK BT DEP","102","FINISHED GOODS - CASE","737","MODELO FAMILY","437","MODELO NEGRA","1558","MODELO NEGRA BT","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80013977","MODELO NEGRA 6PK BT","101","437-556-100","MODELO NEGRA 12OZ BT","BEER","146","> 3.2%","101","CROWN IMPORTS","138","6 PACK (BEER)","146","> 3.2%","102","REGULAR",5.4,,"373","6/12B","103","MULTI-PACK","101","AMBER LAGER","103","4 PACK","S","STOCK END-ITEM","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
1463,"10163","MODELO ESP 6PK DEP CAN","10163","DEP CAN","10163","MODELO ESPECIAL 6PK CAN DEP","102","FINISHED GOODS - CASE","737","MODELO FAMILY","416","MODELO ESPECIAL","2023","MODELO ESPECIAL CAN","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80013970","MODELO ESP 6PK CAN","101","416-556-101","MODELO ESPECIAL 12OZ CAN","BEER","146","> 3.2%","101","CROWN IMPORTS","138","6 PACK (BEER)","146","> 3.2%","102","REGULAR",4.4,,"295","24/12C","103","MULTI-PACK","122","OTHER PALE LAGERS","100","1 PACK","S","STOCK END-ITEM","101","CAN(S)","225","MEXICO","259","CAN","CA","CASE"
1465,"10164","MODELO ESP 12PK DEP CAN","10164","DEP CAN","10164","MODELO ESPECIAL 12PK CAN DEP","102","FINISHED GOODS - CASE","737","MODELO FAMILY","416","MODELO ESPECIAL","2023","MODELO ESPECIAL CAN","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80013518","MODELO ESP 12PK CAN","101","416-556-101","MODELO ESPECIAL 12OZ CAN","BEER","146","> 3.2%","101","CROWN IMPORTS","139","12 PACK (BEER)","146","> 3.2%","102","REGULAR",4.4,,"222","12/12C","103","MULTI-PACK","122","OTHER PALE LAGERS","101","2 PACK","S","STOCK END-ITEM","101","CAN(S)","225","MEXICO","259","CAN","CA","CASE"
1467,"10165","PACIFICO 6PK DEP BT","10165","DEP BT","10165","PACIFICO 6PK BT DEP","102","FINISHED GOODS - CASE","738","PACIFICO FAMILY","471","PACIFICO","1614","PACIFICO BT","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80013971","PACIFICO 6PK BT","101","471-556-100","PACIFICO 12OZ BT","BEER","146","> 3.2%","101","CROWN IMPORTS","138","6 PACK (BEER)","146","> 3.2%","102","REGULAR",4.4,18,"373","6/12B","103","MULTI-PACK","122","OTHER PALE LAGERS","103","4 PACK","S","STOCK END-ITEM","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
1468,"10166","PACIFICO 12PK DEP BT","10166","DEP BT","10166","PACIFICO 12PK BT DEP","102","FINISHED GOODS - CASE","738","PACIFICO FAMILY","471","PACIFICO","1614","PACIFICO BT","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80013972","PACIFICO 12PK BT","101","471-556-100","PACIFICO 12OZ BT","BEER","146","> 3.2%","101","CROWN IMPORTS","139","12 PACK (BEER)","146","> 3.2%","102","REGULAR",4.4,18,"221","12/12B","103","MULTI-PACK","122","OTHER PALE LAGERS","101","2 PACK","S","STOCK END-ITEM","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
1448,"10151","CORONA EX 6PK DEP CAN","10151","DEP CAN","10151","CORONA EXTRA 6PK CAN DEP","102","FINISHED GOODS - CASE","736","CORONA FAMILY","228","CORONA EXTRA","1228","CORONA EXTRA CAN","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80013458","CORONA EX 6PK CAN","101","228-556-101","CORONA EXTRA 12OZ CAN","BEER","146","> 3.2%","101","CROWN IMPORTS","138","6 PACK (BEER)","146","> 3.2%","102","REGULAR",4.6,18,"295","24/12C","103","MULTI-PACK","122","OTHER PALE LAGERS","100","1 PACK","S","STOCK END-ITEM","101","CAN(S)","225","MEXICO","259","CAN","CA","CASE"
1450,"10155","CORONA EX 12PK DEP BT","10155","DEP BT","10155","CORONA EXTRA 12PK BT DEP","102","FINISHED GOODS - CASE","736","CORONA FAMILY","228","CORONA EXTRA","1231","CORONA EXTRA BT","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80013435","CORONA EX 12PK BT","101","228-556-100","CORONA EXTRA 12OZ BT","BEER","146","> 3.2%","101","CROWN IMPORTS","139","12 PACK (BEER)","146","> 3.2%","102","REGULAR",4.6,18,"221","12/12B","103","MULTI-PACK","122","OTHER PALE LAGERS","101","2 PACK","S","STOCK END-ITEM","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
